MOVIE_ID,NAME,ALIAS,ACTORS,COVER,DIRECTORS,DOUBAN_SCORE,DOUBAN_VOTES,GENRES,IMDB_ID,LANGUAGES,MINS,OFFICIAL_SITE,REGIONS,RELEASE_DATE,SLUG,STORYLINE,TAGS,YEAR,ACTOR_IDS,DIRECTOR_IDS
27101874,狐妖小红娘剧场版：千颜,千颜总集篇 我只要你能获得幸福,乔诗语/杨天翔/刘校妤/阿杰/边江/李诗萌/陈张太康/魏超/龙吟,,王昕,8.6,2526,剧情/爱情/动画/奇幻,,汉语普通话,157,,中国大陆,2017/7/28,JvyVReyra,一个本性善良的罪犯，与一个深明大义的捕快，他们之间会擦出怎样的火花呢？,国漫/国产动画/爱情/动漫/动画/二次元/中国/奇幻,2017,乔诗语:1320629|杨天翔:1341265|刘校妤:1325738|阿杰:1320632|边江:1339972|李诗萌:1412293|陈张太康:1384031|魏超:1374285|龙吟:,王昕:
25964201,理查三世,空王冠：玫瑰战争3,本尼迪克特·康伯巴奇/朱迪·丹奇/凯莉·霍威/本·丹尼尔斯/苏菲·奥康内多/詹姆斯·弗雷特/菲比·福克斯/山姆·特劳顿/卢克·崔德威,,多米尼克·库克,8.6,1752,剧情/传记/历史,tt3974598,英语,130,http://www.bbc.co.uk/programmes/b07d3ks4,英国,2016/5/21,AYnVfyVnb,本尼迪克特·康伯巴奇将在BBC电视电影中饰演理查德三世。影片由尼尔街公司制作，该公司去年成功推出广受好评剧集《空王冠》。这次电视电影系列可算作其续篇，除了理查德三世，还会制作亨利六世上下两部电视电影。,英国/BBC/莎士比亚/历史/玫瑰战争/传记/空王冠/名著改编,2016,本尼迪克特·康伯巴奇:1009405|朱迪·丹奇:1054384|凯莉·霍威:1004645|本·丹尼尔斯:1018192|苏菲·奥康内多:1013866|詹姆斯·弗雷特:1325362|菲比·福克斯:1318906|山姆·特劳顿:1317957|卢克·崔德威:1049964,多米尼克·库克:1366161
26895987,庇护所,避难所,三泽纱千香,,赤井俊文,8.6,706,科幻/动画,tt6443118,日语,6,http://sheltertheanimation.com/,日本 / 美国,2016/10/18,mNm7uiFva,美国电音制作人Porter Robinson与A1联手打造的单曲动画「SHELTER」，故事以在未来的虚拟现实VR世界中醒来的17岁孤独少女·凛（CV：三泽纱千香）为主角，每天操作着平板创造属于自己的空想新世界，而现实世界中的凛却沉睡在小小的宇宙船中...,动画/日本/短片/日本动画/科幻/动画短片/A-1Pictures/2016,2016,三泽纱千香:1319412,赤井俊文:
26710657,芬妮的旅程,芬妮的勇敢旅程(台),莱奥尼·西索德/芳汀·阿杜安/茱莉安娜·勒普罗/赖恩·布罗迪/安妮·梅林格/卢·拉布雷希特/塞西尔·德·弗朗斯/玛龙·莱瓦纳/马丁·斯威比,,萝拉·多尔伦,8.6,4794,剧情/战争,tt5038372,法语,94,,法国 / 比利时,2016/5/18,iNQQmryba,改编自《芬妮的回忆录》，真实刻画了二战时期，一家勇敢的犹太孩子们逃离纳粹迫害的经历，过程惊心动魄.,二战/儿童/法国/战争/孩子视角/真实事件改编/真實故事改編/歷史,2016,莱奥尼·西索德:1398004|芳汀·阿杜安:1386133|茱莉安娜·勒普罗:1398009|赖恩·布罗迪:1398011|安妮·梅林格:1398012|卢·拉布雷希特:1398013|塞西尔·德·弗朗斯:1009435|玛龙·莱瓦纳:1315973|马丁·斯威比:1361888,萝拉·多尔伦:1282536
26312988,樱桃小丸子动画25周年纪念特别篇 携手同游~苦乐交织的美味特辑,樱桃小丸子,鳕子/屋良有作/岛田敏/佐佐木优子/水谷优子,,,8.6,498,喜剧/动画,,日语,48,,日本,2015/1/25,MIRYJvMua,樱桃小丸子和爷爷 还有爸爸姐姐 一起去旅行 吃乌冬面特别篇！~,动画/樱桃小丸子/日本/日本动画/25周年纪念/动漫/2015/美食,2015,鳕子:1158006|屋良有作:1034285|岛田敏:1042900|佐佐木优子:|水谷优子:1118042,
26304200,堀桑与宫村君 OVA3,堀与宫村OVA3,濑户麻沙美/松冈祯丞/细谷佳正/植田佳奈/岛崎信长/長谷川明子/野村唯/下野纮/近藤隆/杉田智和/伊藤美纪,,平川哲生,8.6,599,爱情/动画,,日语,23,,日本,2015/3/25,yzbERuyzb,堀さんと宮村くん -好きだ-,OVA/动画/日本/日本动画/爱情/2015/动漫/校园,2015,濑户麻沙美:1315671|松冈祯丞:1314691|细谷佳正:1315177|植田佳奈:1019859|岛崎信长:1318730|長谷川明子:|野村唯:|下野纮:1275200|近藤隆:1219643|杉田智和:1028815|伊藤美纪:1029407,平川哲生:
3592854,疯狂的麦克斯4：狂暴之路,末日先锋：战甲飞车(港) / 疯狂麦斯：愤怒道(台) / 冲锋飞车队4 / 迷雾追魂手4 / 冲锋追魂手4 / 疯狂麦克斯4 / 疯狂迈斯：怒途,汤姆·哈迪/查理兹·塞隆/尼古拉斯·霍尔特/休·基斯-拜恩/乔什·赫尔曼/内森·琼斯/佐伊·克罗维兹/罗茜·汉丁顿-惠特莉/丽莉·克亚芙/阿比·丽/考特尼·伊顿/安格斯·桑普森/理查德·卡特/梅根·盖尔/肖恩·哈普,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,乔治·米勒,8.6,302306,动作/科幻/冒险,tt1392190,英语,120,http://www.madmaxmovie.com,澳大利亚 / 美国,2015/5/14,QAuaURAYf,未来世界，水资源短缺引发了连绵的战争。人们相互厮杀，争夺有限的资源，地球变成了血腥十足的杀戮死战场。面容恐怖的不死乔在戈壁山谷建立了难以撼动的强大武装王国，他手下的战郎驾驶装备尖端武器的战车四下抢掠，杀伐无度，甚至将自己的孩子打造成战争机器。在最近一次行动中，不死乔的得力战将弗瑞奥萨（查理兹·塞隆 Charlize Theron 饰）带着生育者们叛逃，这令不死乔恼羞成怒，发誓要追回生育者。经历了激烈的追逐战和摧毁力极强的沙尘暴，弗瑞奥萨和作为血主的麦克斯（汤姆·哈迪 Tom Hardy 饰）被迫上路，而身后不仅有不死乔的追兵，还有汽油镇、子弹农场的重兵追逐。,暴力/动作/公路/科幻/美国/冒险/2015/澳大利亚,2015,汤姆·哈迪:1049489|查理兹·塞隆:1018991|尼古拉斯·霍尔特:1036341|休·基斯-拜恩:1279533|乔什·赫尔曼:1234202|内森·琼斯:1022750|佐伊·克罗维兹:1229502|罗茜·汉丁顿-惠特莉:1244315|丽莉·克亚芙:1237039|阿比·丽:1262105|考特尼·伊顿:1341732|安格斯·桑普森:1334194|理查德·卡特:1074257|梅根·盖尔:1022951|肖恩·哈普:1349633,乔治·米勒:1056046
26310750,排球少年剧场版：结束与开始,,村濑步/石川界人/林勇/细谷佳正/内山昂辉/入野自由/齐藤壮马/冈本信彦/日野聪,,满仲劝,8.6,657,动画/运动,tt5443130,日语,88,http://www.j-haikyu.com/anime,日本,2015/7/3,NQmrqEBQe,小时候，日向翔阳从电视上看见排球比赛，乌野高中的一名小个子在球上的英姿，简直就是个“小巨人”。他对此印象非常深刻，并开始迷上排球，一直想成为“小巨人”一样的人。初中时排球部不够人数，他只好默默等待，后来在终于有新成员加入后，参与了第一次也是最后一次的比赛，然而他们不幸与最强队伍对决，结果当然落败了。单凭自己的话，是绝对没办法看见那景色的，不是自己一人的话，或许就能看见了。为了能够打出“胜利”的比赛，翔阳努力考入乌野高中，为实现成为“小巨人”的排球梦想而努力着！,剧场版/动画/日本/热血/日本动画/运动/动漫/2015,2015,村濑步:1339693|石川界人:1327730|林勇:1363599|细谷佳正:1315177|内山昂辉:1312902|入野自由:1005438|齐藤壮马:1341567|冈本信彦:1276112|日野聪:1023936,满仲劝:1363597
26600280,老兵,,金士杰/陈强华,,何一铮,8.6,1938,剧情,,汉语普通话,52,,中国大陆,2015/9/1,U3FJvybaa,《老兵》是由福建韵唯文化传媒有限公司出品、淘梦网发行、何一铮执导、金士杰主演的电影。,战争/历史/纪录片/中国/大陆/剧情/2015/政治,2015,金士杰:1275482|陈强华:1386321,何一铮:
26591654,地雷区,十个拆弹的少年(港) / 拆弹少年(台) / 血肉之区,罗兰·默勒/米克尔·福尔斯加德/路易斯·霍夫曼/乔尔·巴斯曼/埃米尔·贝尔顿/奥斯卡·贝尔顿/奥斯卡·柏克曼/莱昂·赛德尔/劳拉·布罗/马德斯·瑞艾森,,马丁·赞里维特,8.6,42928,剧情/历史/战争,tt3841424,丹麦语 / 德语 / 英语,100,,丹麦 / 德国,2015/12/3,Zn7YfiFfa,电影改编自真实的历史事件。,战争/人性/丹麦/德国/二战/历史/剧情/2015,2015,罗兰·默勒:1334238|米克尔·福尔斯加德:1233205|路易斯·霍夫曼:1260132|乔尔·巴斯曼:1006295|埃米尔·贝尔顿:1356503|奥斯卡·贝尔顿:1356504|奥斯卡·柏克曼:1356502|莱昂·赛德尔:1267906|劳拉·布罗:1045675|马德斯·瑞艾森:1357220,马丁·赞里维特:1356449
26386465,亚人1：冲动,亚人 剧场版1,宫野真守/细谷佳正/大塚芳忠/樱井孝宏/小松未可子/平川大辅/洲崎绫/木下浩之,,濑下宽之/安藤裕章,8.6,8364,剧情/动画/悬疑/惊悚/犯罪,tt5234428,日语,106,http://www.ajin.net,日本,2015/11/27,FnVnrMm7e,“亚人”是1980年代开始渐渐出现在人类视野之中的新人种，他们源自于人类，有着和人类一样的外貌，却有着不老不死的肉身，只有一个人类死亡之后，才能够判断他是否为亚人。人类恐惧亚人身上所蕴藏的强大力量，对他们发起了严酷的追捕和研究。,动画/日本/剧场版/2015/动漫/科幻/人性/二次元,2015,宫野真守:1018576|细谷佳正:1315177|大塚芳忠:1164375|樱井孝宏:1019264|小松未可子:1321981|平川大辅:1020547|洲崎绫:1325749|木下浩之:1374506,濑下宽之:1311509|安藤裕章:1363602
26348564,排球少年剧场版：胜者与败者,,村濑步/石川界人/日野聪/入野自由/林勇/细谷佳正/冈本信彦/内山昂辉/齐藤壮马/名塚佳织/浪川大辅/神谷浩史,,满仲劝,8.6,567,动画/运动,tt5445056,日语,87,http://www.j-haikyu.com/anime,日本,2015/9/18,AmNeMuayb,「週刊少年ジャンプ」連載の古舘春一による人気コミックをアニメ化し、2014年にテレビ放送された「ハイキュー!!」の劇場版。テレビアニメ全25話を再編集し、新規カットも加えて製作された2部作の後編。宮城県立烏野高校排球（バレー）部のエース「小さな巨人」に憧れてバレーを始め、烏野高校に入学した日向翔陽が、天才セッターの影山飛雄ら個性的なチームメイトたちと全国大会を目指しながら成長していく姿を描く。,剧场版/日本/动画/日本动画/运动/动漫/排球少年/热血,2015,村濑步:1339693|石川界人:1327730|日野聪:1023936|入野自由:1005438|林勇:1363599|细谷佳正:1315177|冈本信彦:1276112|内山昂辉:1312902|齐藤壮马:1341567|名塚佳织:1048640|浪川大辅:1001127|神谷浩史:1274377,满仲劝:1363597
11026735,超能陆战队,大英雄联盟(港) / 大英雄天团(台) / 六大英雄,斯科特·安第斯/瑞恩·波特/丹尼尔·海尼/T·J·米勒/杰米·钟/小达蒙·韦恩斯/珍尼希斯·罗德里格兹/詹姆斯·克伦威尔/艾伦·图代克/玛娅·鲁道夫/亚布拉哈姆·本鲁比/凯蒂·洛斯/比利·布什/丹尼尔·吉尔森/保罗·布里格斯,,唐·霍尔/克里斯·威廉姆斯,8.6,577469,喜剧/动作/科幻/动画/冒险,tt2245084,英语,102,http://www.disneyanimation.com/projects/bighero6,美国,2015/2/28,nbyryNQYf,未来世界的超级都市旧京山（San Fransokyo），热爱发明创造的天才少年小宏，在哥哥泰迪的鼓励下参加了罗伯特·卡拉汉教授主持的理工学院机器人专业的入学大赛。他凭借神奇的微型磁力机器人赢得观众、参赛者以及考官的一致好评，谁知突如其来的灾难却将小宏的梦想和人生毁于一旦。大火烧毁了展示会场，而哥哥为了救出受困的卡拉汉教授命丧火场。身心饱受创伤的小宏闭门不出，哥哥生前留下的治疗型机器人大白则成为安慰他的唯一伙伴。原以为微型机器人也毁于火灾，谁知小宏和大白竟意外发现有人在某座废弃工厂内大批量地生产他的发明。,动画/迪斯尼/美国/科幻/喜剧/温情/搞笑/2014,2014,斯科特·安第斯:1058140|瑞恩·波特:1341962|丹尼尔·海尼:1036460|T·J·米勒:1248294|杰米·钟:1000068|小达蒙·韦恩斯:1312985|珍尼希斯·罗德里格兹:1171207|詹姆斯·克伦威尔:1006992|艾伦·图代克:1031855|玛娅·鲁道夫:1025183|亚布拉哈姆·本鲁比:1027238|凯蒂·洛斯:1334839|比利·布什:1027495|丹尼尔·吉尔森:1284753|保罗·布里格斯:1344524,唐·霍尔:1310636|克里斯·威廉姆斯:1300949
